Campaign,Labels,Budget,Budget type,Standard conversion goals,Custom conversion goal,Campaign Type,Networks,Languages,Bid Strategy Type,Bid Strategy Name,Target CPA,Start Date,End Date,Ad Schedule,Ad rotation,Targeting method,Exclusion method,Audience targeting,Flexible Reach,Ad Group,Max CPC,Max CPM,Max CPV,Percent CPC,Target CPM,Target ROAS,Desktop Bid Modifier,Mobile Bid Modifier,Tablet Bid Modifier,TV Screen Bid Modifier,Display Network Custom Bid Type,Optimized targeting,Ad Group Type,Audience name,Tracking template,Final URL suffix,Custom parameters,ID,Location,Reach,Location groups,Location groups legacy,Feed,Radius,Unit,Bid Modifier,Keyword,Criterion Type,First page bid,Top of page bid,First position bid,Quality score,Landing page experience,Expected CTR,Ad relevance,Final URL,Final mobile URL,Image Size,Link source,Business name,Ad type,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Path 1,Path 2,Campaign Status,Ad Group Status,Status,Approval Status,Comment
234-ICOP-Singapore,,10.00,Daily,Add to cart(Website);Submit lead form(Website),[],Search,Google search;Search Partners,en,Maximize conversions,,0.00,2023-09-24,[],[],Optimize for clicks,Location of presence or Area of interest,Location of presence,Audience segments,Audience segments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,,,,
234-ICOP-Singapore,,,,,,,,,,,,,,,,,,Audience segments,Audience segments;Genders;Ages;Parental status;Household incomes,EMSS-32R1-C1,0.01,0.01,,,0.01,,,,,,None,Disabled,Standard,,,,,,,,,,,,,,PRODUCT TYPE??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,,,
234-ICOP-Singapore,,,,,,,,,,,,,,,,,,,,EMSS-32R1-C1,,,,,,,,,,,,,,,,,,,,,,,,,,,EMSS-32R1C1,Broad,0.00,0.00,0.00,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Under review,
234-ICOP-Singapore,,,,,,,,,,,,,,,,,,,,EMSS-32R1-C1,,,,,,,,,,,,,,,,,,,,,,,,,,,Innodisk EMSS 32R1 C1,Broad,0.00,0.00,0.00,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Under review,
234-ICOP-Singapore,,,,,,,,,,,,,,,,,,,,EMSS-32R1-C1,,,,,,,,,,,,,,,,,,,,,,,,,,,EMSS-32R1-C1,Broad,0.00,0.00,0.00,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Under review,
234-ICOP-Singapore,,,,,,,,,,,,,,,,,,,,EMSS-32R1-C1,,,,,,,,,,,,,,,,,,,,,,,,,,,EMSS32R1C1,Broad,0.00,0.00,0.00,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Under review,
234-ICOP-Singapore,,,,,,,,,,,,,,,,,,,,EMSS-32R1-C1,,,,,,,,,,,,,,,,,,,,,,,,,,,EMSS32R1-C1,Broad,0.00,0.00,0.00,,-,-,-,,,,,,,ВЕНДОР,,ПРОДУКТ,,ТИП ПРОДУКТА,,Buy + ВЕНДОР,,"ПРОДУКТ - обрезаем по последнему ""-"", если он есть, елсе - скип нах",,ТИП ПРОДУКТА переписанный GPT,,,,,,,,,,,,,,,,,,,,ОПИСАНИЕ ЕН,, GPT - перевод русского дескрипшна.,,,,,,,УРЛ,Paused,Enabled,Enabled,Under review,
234-ICOP-Singapore,,,,,,,,,,,,,,,,,,,,EMSS-32R1-C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipc2u.com/catalog/emss-32r1-c1,,,,,Responsive search ad,Innodisk,1,EMSS-32R1-C1,2,SATA Port Module,3,Buy Innodisk,1,EMSS-32R1,2,SATA Converter,3,,,,,,,,,,,,,,,,,,,"mSATA Full-Size to 2xSATA 3 Connectors with RAID 0/1, Operating Temperature 0 - +70C, 3.3V",-,"mSATA interface converter to Dual SATA III RAID, 3.3V, 0 - +70C",-,,,,,catalog,emss-32r1-c1,Paused,Enabled,Enabled,Under review,
234-ICOP-Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2702,Singapore,19900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,,Enabled,,
234-ICOP-Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920 x 1920,Advertiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,,Enabled,Under review,
234-ICOP-Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advertiser,IPC2U Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,,Enabled,Under review,